,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
1376,r/evolving circus,Public Art,Oct 4 2012,Nov 3 2012,30,"Batavia, IL",$,4171,3000,72
1377,Closet Artist...COMING OUT!,Painting,Sep 25 2012,Nov 20 2012,55,"Tampa, FL",$,1160,900,24
1378,(Re)Open The Shred Shed SLC!,Performance Art,Sep 21 2012,Oct 6 2012,15,"Salt Lake City, UT",$,2300,1000,61
1379,6X6 Tampa Bay Presents: PAM Meets JAM,Art,Feb 24 2012,Apr 1 2012,36,"Tampa, FL",$,721,606,20
1380,MAGIC CIRCUS and the Gypsy Caravan ~ An Artistic Adventure.,Mixed Media,Mar 13 2012,Apr 14 2012,31,"Martinez, CA",$,830,600,30
1381,The San Francisco Comedy & Burrito Festival,Performance Art,Mar 15 2012,Apr 24 2012,40,"San Francisco, CA",$,6250,5000,155
1382,1000 Artists: Presidential Inauguration 2013,Public Art,Mar 28 2012,May 7 2012,40,"Washington, DC",$,4586,4500,82
1383,Alice,Performance Art,Mar 9 2012,Mar 31 2012,22,"New York, NY",$,2405,2000,49
1384,KADESH SUMMER TOUR 2012,Performance Art,May 7 2012,Jun 6 2012,30,"Umatilla, FL",$,3235,3000,27
1385,Flutter Tunnel: Spreading Light Through Art,Public Art,Jul 14 2012,Aug 3 2012,19,"Black Rock City, NV",$,6028,6000,129
1386,Nematode Pamphlet,Public Art,Nov 13 2012,Dec 13 2012,30,"New York, NY",$,1149,650,47
1387,Moroccan Carpet Caravan 2012,Mixed Media,Nov 4 2011,Jan 3 2012,60,"New Orleans, LA",$,2512,2500,39
1388,Fourth Grade,Mixed Media,Nov 12 2011,Dec 12 2011,30,"Philadelphia, PA",$,5757,3600,107
1389,Mystical Bootcamp,Performance Art,Feb 23 2012,Mar 24 2012,30,"Chicago, IL",$,1520,1200,42
1390,15 Writers' Houses in 15 Days,Mixed Media,Feb 7 2012,Feb 13 2012,6,"London, UK",$,4460,3500,136
1391,Performance Ark presents Things Both Hushed and Grand,Performance Art,Feb 13 2012,Mar 8 2012,24,"Ann Arbor, MI",$,930,850,27
1392,Video and Light Projections on Paintings,Mixed Media,Feb 9 2012,Mar 10 2012,30,"Seattle, WA",$,2607,2200,42
1393,Collage to Canvas.,Art,Apr 6 2012,May 6 2012,30,"Brooklyn, NY",$,619,600,23
1394,GREEN: a paradox of abundance and scarcity,Mixed Media,Dec 6 2011,Jan 5 2012,30,"Albuquerque, NM",$,3888,3200,54
1395,The Luminary Moves to Cherokee Street,Art,Dec 15 2011,Feb 12 2012,59,"St. Louis, MO",$,22244,20000,341
1396,"Marble, Mib, Glass Orb, Art?",Sculpture,Mar 4 2012,Apr 6 2012,32,"Shelton, WA",$,3414,2000,25
1397,"[=] An Abstract Art Event in Kyiv, Ukraine",Painting,Jul 16 2012,Aug 18 2012,32,"Kiev, Ukraine",$,3606,3500,42
1398,TENDRILLAR WOODS Construction and Transportation,Public Art,Aug 2 2012,Aug 16 2012,13,"Seattle, WA",$,1577,1500,40
1399,Flying Straw Bale: organic farm sculpture,Sculpture,Jun 21 2012,Jul 15 2012,24,"Boise, ID",$,3586,3500,67
